1,1,2015-11-18,0:35:26,299,+7:00,0.0.0.0,68,192.168.1.101,67,UDP,RX,01010600D4B5E7B600010000000000000000000000000000000000004C8D79902E84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010337060103060F77FC390205DC3D07014C8D79902E843204C0A801A733040076A7000C044469746FFF0000000000000000000000000000000000,300
2,2,2015-11-18,0:35:26,354,+7:00,192.168.1.1,67,192.168.1.101,68,UDP,RX,02010600D4B5E7B600000000000000000000000000000000000000004C8D79902E8400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604C0A80101FF,250
3,3,2015-11-18,0:35:26,439,+7:00,0.0.0.0,68,192.168.1.101,67,UDP,RX,01010600D4B5E7B700000000000000000000000000000000000000004C8D79902E84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010137060103060F77FC390205DC3D07014C8D79902E8433040076A7000C044469746FFF0000000000000000000000000000000000000000000000,300
4,4,2015-11-18,0:35:28,142,+7:00,0.0.0.0,68,192.168.1.101,67,UDP,RX,01010600D4B5E7B700010000000000000000000000000000000000004C8D79902E84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010137060103060F77FC390205DC3D07014C8D79902E8433040076A7000C044469746FFF0000000000000000000000000000000000000000000000,300
5,5,2015-11-18,0:35:30,496,+7:00,0.0.0.0,68,192.168.1.101,67,UDP,RX,01010600D4B5E7B700040000000000000000000000000000000000004C8D79902E84000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010337060103060F77FC390205DC3D07014C8D79902E843204C0A801673604C0A801010C044469746FFF0000000000000000000000000000000000,300
6,6,2015-11-18,16:26:23,692,+7:00,192.168.0.42,137,0.0.0.0,137,UDP,RX,C81B011000010000000000002046484641454245454341434143414341434143414341434143414341434141410000200001,50
7,7,2015-11-18,16:26:24,290,+7:00,192.168.0.42,137,0.0.0.0,137,UDP,RX,C81B011000010000000000002046484641454245454341434143414341434143414341434143414341434141410000200001,50
8,8,2015-11-18,16:26:25,41,+7:00,192.168.0.42,137,0.0.0.0,137,UDP,RX,C81B011000010000000000002046484641454245454341434143414341434143414341434143414341434141410000200001,50
9,9,2015-11-18,16:26:26,761,+7:00,192.168.0.186,137,0.0.0.0,137,UDP,RX,B377011000010000000000002046484641454245454341434143414341434143414341434143414341434141410000200001,50
10,10,2015-11-18,16:26:27,388,+7:00,192.168.0.186,137,0.0.0.0,137,UDP,RX,B377011000010000000000002046484641454245454341434143414341434143414341434143414341434141410000200001,50
